GAIA star id,Right Ascension (deg),Declination (deg),parallax (milliarcsseconds),GAIA g apparent mag,GAIA colour bp - rp
2154880616774130000,280.6830708,59.63835791,283.840118,7.854393,2.4610577
778947814402602000,166.3420597,43.53094856,203.8875928,7.912665,2.104178
1637645127018390000,264.1040526,68.33349764,219.7897721,8.02864,2.518117
4810594479418040000,77.95993735,-45.0438127,254.1985933,8.063552,2.0266457
4293318823182080000,289.2276515,5.162976303,169.0615053,8.099911,2.378519
2739689239311660000,357.3066038,2.396917944,169.2163296,8.152917,2.095766
4472832130942570000,269.4485025,4.739420051,546.9759397,8.1939745,2.8336968
625453654702751000,154.8988137,19.86980991,201.406421,8.204091,2.564643
3738099879558950000,202.5042016,10.37238957,131.1013452,8.205292,2.0878701
6002807341299970000,233.0469274,-41.28017409,168.9965073,8.2741785,2.4276128
3828238392559860000,153.0729373,-3.746747553,129.7543962,8.331761,2.2344894
5951824121022270000,262.1701639,-46.8991049,219.6462514,8.336431,2.4648557
4177731838628460000,271.2841138,-3.032798002,129.2184495,8.519395,2.1195245
2947050466531870000,101.2866255,-16.72093253,374.4895885,8.524133,-0.27842712
2154880616774130000,280.6830862,59.63514545,283.8377678,8.524704,2.625472
3139847906307940000,111.8546284,5.209382702,264.1268978,8.576388,2.7577581
3855208897392950000,157.2287834,0.837746888,142.0951431,8.675959,2.2955694
4550763526539950000,264.4766237,18.59608765,122.5546065,8.74288,2.1102657
4330690742322010000,247.5748142,-12.66785108,232.1389808,8.801877,2.7315807
939072613334579000,103.7001292,33.26640802,179.0629349,8.863551,2.5611715
2603090003484150000,343.324111,-14.26668939,214.0379889,8.875059,2.8092842
533621859441169000,15.65901188,71.67812049,121.4598287,8.941875,2.4585924
3988987164339430000,165.0156786,22.8317023,148.1985503,8.977005,2.4295382
5853498713190520000,217.3923215,-62.67607512,768.0665392,8.984749,3.8045802
1934263333784030000,341.7028255,44.33195332,197.9573009,9.005235,2.7301593
2824770686019000000,352.9701238,19.93699283,159.663392,9.043998,2.6609464
1784473016438650000,322.4080799,17.6449778,147.4957775,9.108492,2.6544762
4075141768785640000,282.458789,-23.83709745,336.0266017,9.126414,2.8340364
1428427236986200000,246.3558883,54.30333867,154.3502684,9.139769,2.2954597
4594497834189210000,266.6028614,27.71373737,119.8870614,9.184961,2.6012816
6378584028690850000,343.9214713,-75.46337685,116.3133693,9.292778,2.4678383
5975663354131610000,259.7512527,-34.99779509,138.0662741,9.386162,2.2938309
6322070093095490000,229.8563013,-7.722707024,158.718273,9.421787,2.5615683
2246206567973290000,307.638264,65.45081813,123.6546598,9.43527,2.4840298
114207651462714000,41.06888178,25.52175109,130.1956341,9.467294,2.5002089
6021430250773340000,245.0104221,-37.52461045,117.4715942,9.495382,2.4885054
3195919254111310000,63.83078752,-7.672952135,199.6910733,9.54224,-0.1910038
1129149723913120000,176.939408,78.69329745,190.3251427,9.551337,2.701994
4594497838483170000,266.6026936,27.71382059,120.3979147,9.58592,2.6111593
5918660719983560000,266.6334445,-57.3250618,169.8041954,9.592273,2.5847359
3796072592206250000,176.937688,0.79911997,296.3053079,9.601,3.0332584
5955305209191540000,264.2608874,-44.32338224,199.6944013,9.602153,2.9048986
2974726136265620000,75.61776596,-21.2576392,118.8249654,9.636776,1.8890948
385334196532776000,4.625300681,44.02874452,280.694731,9.686646,2.8360271
3136952686035250000,116.1658359,3.550484445,166.9768965,9.692206,2.997038
470826482637310000,67.80919063,58.96797997,181.243839,9.702565,2.8958826
3195919254111310000,63.82965602,-7.670903383,199.4516186,9.775309,2.9896755
6324325225803430000,218.5684318,-12.51692385,159.9225478,9.894982,2.9232502
3316364602541740000,90.01597644,2.70637408,192.0134622,9.901327,2.8903284
946632924007399000,107.5051434,38.52526942,165.2146994,9.934659,3.105956
5153091836072100000,45.46242451,-16.59453281,145.6921885,10.058402,2.590352
6882963066420160000,313.1361328,-16.97455847,177.9312214,10.081701,2.9015598
