GAIA star id,Right Ascension (deg),Declination (deg),parallax (milliarcsseconds),GAIA g apparent mag,GAIA colour bp - rp
3490234568129160000,182.5308214,-22.61972201,10.59837638,2.6297014,1.384757
5512070906394190000,112.3072596,-43.30059261,17.02337433,2.6405158,1.6322141
3384529341302870000,100.983006,25.13107484,3.747653899,2.6483977,1.4132671
447071293401293000,46.19914439,53.50642324,14.12515996,2.651,1.0181456
2026116260337480000,292.6803397,27.95962418,8.981563553,2.651682,1.3495245
2900546759663840000,84.91226376,-34.07421247,11.40078645,2.6532035,0.29323173
2962546605447860000,76.36538394,-22.3713676,15.5999083,2.6534927,1.5497768
779106556394253000,167.4154777,44.4983643,23.22722655,2.68003,1.3199959
510204838759030000,21.45661246,60.23506761,32.02972419,2.6805298,0.5723715
4683897617110110000,6.482504988,-77.25279547,133.7194056,2.6807318,0.92413735
1339952869195300000,258.7616572,36.80917455,8.899064345,2.7025177,1.4799106
5859405805013400000,184.3900838,-67.9608533,9.991496144,2.7034264,2.3211966
2671038928727970000,322.8898028,-5.571211108,5.972785301,2.7120852,1.0929565
1381119031215320000,247.1607938,41.88165069,8.486623722,2.7236698,3.1317515
4049975081571720000,271.4517659,-30.42493816,32.26965661,2.7243106,1.2346699
1887953690728230000,340.7506395,30.2211304,16.63083544,2.7250793,1.109237
2680356911816010000,331.4460641,-0.3198974,4.945145326,2.727835,1.1494417
5239828735016180000,160.738981,-64.39440583,7.637104512,2.7347076,0.055695772
3557567320183650000,162.4066311,-16.19275976,23.79402035,2.7356641,1.3883028
5698015743046180000,121.88563,-24.30411555,51.39988628,2.7505891,0.78982997
4935615308047190000,22.09126127,-43.31915414,13.36116679,2.7603414,1.6890006
5610441600394640000,105.4297548,-27.93480861,2.508532778,2.7605493,1.7686272
6071060144089350000,183.7860104,-58.74897428,7.168087772,2.7730124,-0.007714033
6194563955869050000,199.7307356,-23.17171089,25.52860508,2.776534,1.1548169
3211922645854320000,76.96200055,-5.086810304,36.24560428,2.7777147,0.43548036
641662895638787000,146.4625826,23.77420578,14.33944287,2.7839565,1.0609426
5826168461855380000,238.7838065,-63.43251145,80.48541193,2.784391,0.62880015
4082115215112770000,287.4409679,-21.02377873,6.241001258,2.803014,0.6970482
2887731882922760000,87.74026612,-35.7665114,36.90381517,2.8041787,1.2997231
2255173119658510000,288.1398619,67.66194921,33.34994527,2.8079169,1.2463834
6838311796136230000,326.7613925,-16.12860719,85.94055985,2.836813,0.6872513
